parcel_id,max_dua,max_far,year,type1,type2,type3,type4,type5,type6,type7,type8,locnote,mponote,AreaName
1670,11.25,1.125,2023,0,1,0,1,1,0,0,0,Grocery store/restaurant + neighborhood center uses,WFRC,Herriman Town Center
1671,11.25,1.125,2023,0,1,0,1,1,0,0,0,Grocery store/restaurant + neighborhood center uses,WFRC,Herriman Town Center
2050,11.25,1.125,2023,0,1,0,1,1,0,0,0,Grocery store/restaurant + neighborhood center uses,WFRC,Highline
2051,11.25,1.125,2023,0,1,0,1,1,0,0,0,Grocery store/restaurant + neighborhood center uses,WFRC,Highline
2126,,1.875,2023,0,0,1,0,1,0,0,0,"Regionally significant employment-focused uses (research park, warehouse)",WFRC,International District
2127,,1.875,2023,0,0,1,0,1,0,0,0,"Regionally significant employment-focused uses (research park, warehouse)",WFRC,International District
2128,,1.875,2023,0,0,1,0,1,0,0,0,"Regionally significant employment-focused uses (research park, warehouse)",WFRC,International District
2414,11.25,1.125,2023,0,1,0,1,1,0,0,0,Grocery store/restaurant + neighborhood center uses,WFRC,Mountain View Village
2415,11.25,1.125,2023,0,1,0,1,1,0,0,0,Grocery store/restaurant + neighborhood center uses,WFRC,Mountain View Village
2416,11.25,1.125,2023,0,1,0,1,1,0,0,0,Grocery store/restaurant + neighborhood center uses,WFRC,Mountain View Village
2417,11.25,1.125,2023,0,1,0,1,1,0,0,0,Grocery store/restaurant + neighborhood center uses,WFRC,Mountain View Village
2418,11.25,1.125,2023,0,1,0,1,1,0,0,0,Grocery store/restaurant + neighborhood center uses,WFRC,Mountain View Village
2419,11.25,1.125,2023,0,1,0,1,1,0,0,0,Grocery store/restaurant + neighborhood center uses,WFRC,Mountain View Village
2420,11.25,1.125,2023,0,1,0,1,1,0,0,0,Grocery store/restaurant + neighborhood center uses,WFRC,Mountain View Village
2443,7.5,1.0,2035,0,1,0,1,1,0,0,0,"Retail (pharmacy, restaurant) and/or civic (elementary school, library)",WFRC,Cascade Village
2444,7.5,1.0,2035,0,1,0,1,1,0,0,0,"Retail (pharmacy, restaurant) and/or civic (elementary school, library)",WFRC,Cascade Village
2445,7.5,1.0,2035,0,1,0,1,1,0,0,0,"Retail (pharmacy, restaurant) and/or civic (elementary school, library)",WFRC,Cascade Village
2520,7.5,1.0,2035,0,1,0,1,1,0,0,0,"Retail (pharmacy, restaurant) and/or civic (elementary school, library)",WFRC,West Jordan Neighborhood Center 345
2521,7.5,1.0,2035,0,1,0,1,1,0,0,0,"Retail (pharmacy, restaurant) and/or civic (elementary school, library)",WFRC,West Jordan Neighborhood Center 345
2975,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2976,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2977,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2978,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2979,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2980,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2981,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2982,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2983,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2984,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2985,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2986,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2987,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2988,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2989,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2990,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2991,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2992,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2993,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2994,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2995,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2996,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2997,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2998,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
2999,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3000,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3001,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3002,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3003,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3004,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3005,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3006,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3007,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3008,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3009,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3010,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3011,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3012,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3013,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3014,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
3015,,0.5,2027,0,0,1,0,0,0,0,0,"Manufacturing, logistics, or other goods movement",WFRC,Salt Lake City Northwest Quadrant
