;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68948.0,0,0,0,3,BOX ELDER
2,30002,15.0,40.0,0.375,0.0,0.0,0.0,0.0,3.2000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,66905.0,0,0,0,3,BOX ELDER
3,30003,24.0,67.0,0.3582089552238806,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,51492.0,0,0,0,3,BOX ELDER
4,30004,1.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51492.0,0,0,0,3,BOX ELDER
5,30005,61.9999999985744,197.9999999954473,0.3131313131313131,1.999999999954013,0.0,0.0,1.999999999954013,15.099999999652798,0.0,0.0,0.0,0.0,0.0,0.0,1.999999999954013,0.0,0.0,0.0,8.999999999793058,3.999999999908026,68948.0,0,0,0,3,BOX ELDER
6,30006,3.0,9.0,0.3333333333333333,9.0,0.0,9.0,0.0,5.8,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51492.0,0,0,0,3,BOX ELDER
7,30007,37.999999970166726,108.99999991442562,0.3486238532110091,37.999999970166726,1.999999998429828,29.999999976447416,5.999999995289484,134.49999989440593,1.999999998429828,0.0,0.0,29.999999976447416,0.0,0.0,0.0,5.999999995289484,213.9999998319916,0.0,6.999999994504397,2.999999997644742,51492.0,0,0,0,3,BOX ELDER
8,30008,49.0,155.0,0.3161290322580645,56.0,17.0,0.0,39.0,48.9,17.0,0.0,0.0,0.0,37.0,0.0,0.0,2.0,0.0,0.0,7.0,3.0,71055.0,0,0,0,3,BOX ELDER
9,30009,15.0,41.0,0.3658536585365853,100.0,0.0,100.0,0.0,73.2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,0,0,0,3,BOX ELDER
10,30010,22.0,61.0,0.360655737704918,104.0,0.0,104.0,0.0,54.20000000000001,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,51492.0,0,0,0,3,BOX ELDER
11,30011,8.0,24.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0,0,0,3,BOX ELDER
12,30012,17.0,52.0,0.3269230769230769,0.0,0.0,0.0,0.0,3.2000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,71342.0,0,0,0,3,BOX ELDER
13,30013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0,0,0,3,BOX ELDER
14,30014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0,0,0,3,BOX ELDER
